"Timestamp","Target","Status","Message"
"2026-02-24 23:45:54","192.168.0.244","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:57","192.168.0.245","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:00","192.168.0.246","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:03","192.168.0.247","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:06","192.168.0.248","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:09","192.168.0.249","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:12","192.168.0.250","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:15","192.168.0.251","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:18","192.168.0.252","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:21","192.168.0.253","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:24","192.168.0.254","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:28","192.168.0.255","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:32","192.168.1.0","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:36","192.168.1.1","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:40","192.168.1.2","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:44","192.168.1.3","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:48","192.168.1.4","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:52","192.168.1.5","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:46:56","192.168.1.6","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:47:00","192.168.1.7","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:47:04","192.168.0.114","ERROR","Shutdown Failed (Access Denied?)"
